Grade,Level,Subject Code,Subject,Examinable
Grade 1,Lower Primary,SUB-101,English,Yes
Grade 1,Lower Primary,SUB-102,Kiswahili,Yes
Grade 1,Lower Primary,SUB-103,Mathematics,Yes
Grade 1,Lower Primary,SUB-104,Environmental Activities,Yes
Grade 1,Lower Primary,SUB-105,Religious Education,Yes
Grade 1,Lower Primary,SUB-106,Creative Activities,Yes
Grade 1,Lower Primary,SUB-107,Physical & Health Education,Yes
Grade 2,Lower Primary,SUB-201,English,Yes
Grade 2,Lower Primary,SUB-202,Kiswahili,Yes
Grade 2,Lower Primary,SUB-203,Mathematics,Yes
Grade 2,Lower Primary,SUB-204,Environmental Activities,Yes
Grade 2,Lower Primary,SUB-205,Religious Education,Yes
Grade 2,Lower Primary,SUB-206,Creative Activities,Yes
Grade 2,Lower Primary,SUB-207,Physical & Health Education,Yes
Grade 3,Lower Primary,SUB-301,English,Yes
Grade 3,Lower Primary,SUB-302,Kiswahili,Yes
Grade 3,Lower Primary,SUB-303,Mathematics,Yes
Grade 3,Lower Primary,SUB-304,Environmental Activities,Yes
Grade 3,Lower Primary,SUB-305,Religious Education,Yes
Grade 3,Lower Primary,SUB-306,Creative Activities,Yes
Grade 3,Lower Primary,SUB-307,Physical & Health Education,Yes
Grade 4,Upper Primary,SUB-401,English,Yes
Grade 4,Upper Primary,SUB-402,Kiswahili,Yes
Grade 4,Upper Primary,SUB-403,Mathematics,Yes
Grade 4,Upper Primary,SUB-404,Science & Technology,Yes
Grade 4,Upper Primary,SUB-405,Social Studies,Yes
Grade 4,Upper Primary,SUB-406,Religious Education,Yes
Grade 4,Upper Primary,SUB-407,Creative Arts,Yes
Grade 4,Upper Primary,SUB-408,Physical & Health Education,Yes
Grade 5,Upper Primary,SUB-501,English,Yes
Grade 5,Upper Primary,SUB-502,Kiswahili,Yes
Grade 5,Upper Primary,SUB-503,Mathematics,Yes
Grade 5,Upper Primary,SUB-504,Science & Technology,Yes
Grade 5,Upper Primary,SUB-505,Social Studies,Yes
Grade 5,Upper Primary,SUB-506,Religious Education,Yes
Grade 5,Upper Primary,SUB-507,Creative Arts,Yes
Grade 5,Upper Primary,SUB-508,Physical & Health Education,Yes
Grade 6,Upper Primary,SUB-601,English,Yes
Grade 6,Upper Primary,SUB-602,Kiswahili,Yes
Grade 6,Upper Primary,SUB-603,Mathematics,Yes
Grade 6,Upper Primary,SUB-604,Science & Technology,Yes
Grade 6,Upper Primary,SUB-605,Social Studies,Yes
Grade 6,Upper Primary,SUB-606,Religious Education,Yes
Grade 6,Upper Primary,SUB-607,Creative Arts,Yes
Grade 6,Upper Primary,SUB-608,Physical & Health Education,Yes
Grade 7,Junior Secondary,SUB-701,English,Yes
Grade 7,Junior Secondary,SUB-702,Kiswahili,Yes
Grade 7,Junior Secondary,SUB-703,Mathematics,Yes
Grade 7,Junior Secondary,SUB-704,Integrated Science,Yes
Grade 7,Junior Secondary,SUB-705,Social Studies,Yes
Grade 7,Junior Secondary,SUB-706,Pre-Technical & Pre-Career Studies,Yes
Grade 7,Junior Secondary,SUB-707,Religious Education,Yes
Grade 7,Junior Secondary,SUB-708,Life Skills Education,Yes
Grade 7,Junior Secondary,SUB-709,Creative Arts & Sports,Yes
Grade 7,Junior Secondary,SUB-710,Agriculture & Nutrition,Yes
Grade 7,Junior Secondary,SUB-711,Home Science,Yes
Grade 7,Junior Secondary,SUB-712,Computer Science,Yes
Grade 8,Junior Secondary,SUB-801,English,Yes
Grade 8,Junior Secondary,SUB-802,Kiswahili,Yes
Grade 8,Junior Secondary,SUB-803,Mathematics,Yes
Grade 8,Junior Secondary,SUB-804,Integrated Science,Yes
Grade 8,Junior Secondary,SUB-805,Social Studies,Yes
Grade 8,Junior Secondary,SUB-806,Pre-Technical & Pre-Career Studies,Yes
Grade 8,Junior Secondary,SUB-807,Religious Education,Yes
Grade 8,Junior Secondary,SUB-808,Life Skills Education,Yes
Grade 8,Junior Secondary,SUB-809,Creative Arts & Sports,Yes
Grade 8,Junior Secondary,SUB-810,Agriculture & Nutrition,Yes
Grade 8,Junior Secondary,SUB-811,Home Science,Yes
Grade 8,Junior Secondary,SUB-812,Computer Science,Yes
Grade 9,Junior Secondary,SUB-901,English,Yes
Grade 9,Junior Secondary,SUB-902,Kiswahili,Yes
Grade 9,Junior Secondary,SUB-903,Mathematics,Yes
Grade 9,Junior Secondary,SUB-904,Integrated Science,Yes
Grade 9,Junior Secondary,SUB-905,Social Studies,Yes
Grade 9,Junior Secondary,SUB-906,Pre-Technical & Pre-Career Studies,Yes
Grade 9,Junior Secondary,SUB-907,Religious Education,Yes
Grade 9,Junior Secondary,SUB-908,Life Skills Education,Yes
Grade 9,Junior Secondary,SUB-909,Creative Arts & Sports,Yes
Grade 9,Junior Secondary,SUB-910,Agriculture & Nutrition,Yes
Grade 9,Junior Secondary,SUB-911,Home Science,Yes
Grade 9,Junior Secondary,SUB-912,Computer Science,Yes
