Class,Level,Term,Year,Tuition (KES),Payment Due
Grade 1 A,Lower Primary,Term 1,2026,30000,2026-02-02
Grade 1 A,Lower Primary,Term 2,2026,15000,2026-06-01
Grade 1 A,Lower Primary,Term 3,2026,9000,2026-09-30
Grade 1 B,Lower Primary,Term 1,2026,30000,2026-02-02
Grade 1 B,Lower Primary,Term 2,2026,15000,2026-06-01
Grade 1 B,Lower Primary,Term 3,2026,9000,2026-09-30
Grade 1 C,Lower Primary,Term 1,2026,30000,2026-02-02
Grade 1 C,Lower Primary,Term 2,2026,15000,2026-06-01
Grade 1 C,Lower Primary,Term 3,2026,9000,2026-09-30
Grade 2 A,Lower Primary,Term 1,2026,30000,2026-02-02
Grade 2 A,Lower Primary,Term 2,2026,15000,2026-06-01
Grade 2 A,Lower Primary,Term 3,2026,9000,2026-09-30
Grade 2 B,Lower Primary,Term 1,2026,30000,2026-02-02
Grade 2 B,Lower Primary,Term 2,2026,15000,2026-06-01
Grade 2 B,Lower Primary,Term 3,2026,9000,2026-09-30
Grade 3 A,Lower Primary,Term 1,2026,30000,2026-02-02
Grade 3 A,Lower Primary,Term 2,2026,15000,2026-06-01
Grade 3 A,Lower Primary,Term 3,2026,9000,2026-09-30
Grade 3 B,Lower Primary,Term 1,2026,30000,2026-02-02
Grade 3 B,Lower Primary,Term 2,2026,15000,2026-06-01
Grade 3 B,Lower Primary,Term 3,2026,9000,2026-09-30
Grade 4 A,Upper Primary,Term 1,2026,30000,2026-02-02
Grade 4 A,Upper Primary,Term 2,2026,15000,2026-06-01
Grade 4 A,Upper Primary,Term 3,2026,9000,2026-09-30
Grade 4 B,Upper Primary,Term 1,2026,30000,2026-02-02
Grade 4 B,Upper Primary,Term 2,2026,15000,2026-06-01
Grade 4 B,Upper Primary,Term 3,2026,9000,2026-09-30
Grade 5 A,Upper Primary,Term 1,2026,30000,2026-02-02
Grade 5 A,Upper Primary,Term 2,2026,15000,2026-06-01
Grade 5 A,Upper Primary,Term 3,2026,9000,2026-09-30
Grade 5 B,Upper Primary,Term 1,2026,30000,2026-02-02
Grade 5 B,Upper Primary,Term 2,2026,15000,2026-06-01
Grade 5 B,Upper Primary,Term 3,2026,9000,2026-09-30
Grade 6 A,Upper Primary,Term 1,2026,30000,2026-02-02
Grade 6 A,Upper Primary,Term 2,2026,15000,2026-06-01
Grade 6 A,Upper Primary,Term 3,2026,9000,2026-09-30
Grade 6 B,Upper Primary,Term 1,2026,30000,2026-02-02
Grade 6 B,Upper Primary,Term 2,2026,15000,2026-06-01
Grade 6 B,Upper Primary,Term 3,2026,9000,2026-09-30
Grade 7 A,Junior Secondary,Term 1,2026,30000,2026-02-02
Grade 7 A,Junior Secondary,Term 2,2026,15000,2026-06-01
Grade 7 A,Junior Secondary,Term 3,2026,9000,2026-09-30
Grade 7 B,Junior Secondary,Term 1,2026,30000,2026-02-02
Grade 7 B,Junior Secondary,Term 2,2026,15000,2026-06-01
Grade 7 B,Junior Secondary,Term 3,2026,9000,2026-09-30
Grade 7 C,Junior Secondary,Term 1,2026,30000,2026-02-02
Grade 7 C,Junior Secondary,Term 2,2026,15000,2026-06-01
Grade 7 C,Junior Secondary,Term 3,2026,9000,2026-09-30
Grade 8 A,Junior Secondary,Term 1,2026,30000,2026-02-02
Grade 8 A,Junior Secondary,Term 2,2026,15000,2026-06-01
Grade 8 A,Junior Secondary,Term 3,2026,9000,2026-09-30
Grade 8 B,Junior Secondary,Term 1,2026,30000,2026-02-02
Grade 8 B,Junior Secondary,Term 2,2026,15000,2026-06-01
Grade 8 B,Junior Secondary,Term 3,2026,9000,2026-09-30
Grade 9 A,Junior Secondary,Term 1,2026,30000,2026-02-02
Grade 9 A,Junior Secondary,Term 2,2026,15000,2026-06-01
Grade 9 A,Junior Secondary,Term 3,2026,9000,2026-09-30
Grade 9 B,Junior Secondary,Term 1,2026,30000,2026-02-02
Grade 9 B,Junior Secondary,Term 2,2026,15000,2026-06-01
Grade 9 B,Junior Secondary,Term 3,2026,9000,2026-09-30
